fold,state,target,n,MAE,RMSE,bias
2024/2025,Ekiti,deaths,52,5.200271671633117,10.477053953399977,-2.5627804432731227
2024/2025,Bayelsa,cases,52,3470.399195392115,7463.169992138608,-927.6820922675765
2024/2025,Bayelsa,hospitalizations,52,75.8213459966008,202.36989316321342,-36.52368763697926
2024/2025,Bayelsa,deaths,52,5.752919620485331,12.840283352864345,-3.7001072317644064
2025/2026,Kano,cases,52,19478.304120614248,48224.161638608064,-4208.566398398345
2025/2026,Kano,hospitalizations,52,148.79596807149392,288.42404623033707,-11.446687171622587
2025/2026,Kano,deaths,52,19.78697190583879,37.654401353186856,-4.821617471206834
2025/2026,Lagos,cases,52,23059.32472376262,69919.7865938813,-13302.740639667954
2025/2026,Lagos,hospitalizations,52,275.56062098587375,626.5362310396574,-68.53611990289065
2025/2026,Lagos,deaths,52,14.279773473027275,33.16993351549079,5.881470179871932
2025/2026,Katsina,cases,52,10305.9482105509,22992.207531054875,1148.2053418099786
2025/2026,Katsina,hospitalizations,52,159.84762467754405,359.2524653452735,-33.008602707610066
2025/2026,Katsina,deaths,52,20.991910948919728,42.85815769710661,-0.9764851114488071
2025/2026,Kaduna,cases,52,8122.951148538827,20814.21356925739,-1980.5169680952995
2025/2026,Kaduna,hospitalizations,52,122.5511466181436,297.6922618270539,-32.75595203569739
2025/2026,Kaduna,deaths,52,10.53014175529812,22.663297598414847,-2.3448946631391427
2025/2026,Bauchi,cases,52,10591.525154179948,22846.04636272659,-839.7127051034629
2025/2026,Bauchi,hospitalizations,52,130.34785403653495,281.0329102176008,-19.594435050714257
2025/2026,Bauchi,deaths,52,15.484482267385259,30.059453943016138,2.560453525595461
2025/2026,Oyo,cases,52,7892.661462984742,16335.677330933246,5887.880765590381
2025/2026,Oyo,hospitalizations,52,114.12292205206846,292.357258202656,8.246324695116833
2025/2026,Oyo,deaths,52,10.634679796830893,21.9240874753253,2.4509090726434297
2025/2026,Anambra,cases,52,6923.527024364857,15117.953676293868,63.41381392270705
2025/2026,Anambra,hospitalizations,52,119.78066687068007,213.66880676037601,63.78674125643277
2025/2026,Anambra,deaths,52,11.221126439908216,22.91454530738391,-1.9873884020646988
2025/2026,Rivers,cases,52,5517.642702446019,10895.55083546206,2533.5857935935906
2025/2026,Rivers,hospitalizations,52,143.23347393800339,333.27641357936403,-22.275546965327383
2025/2026,Rivers,deaths,52,11.603027217040593,24.69697430417277,0.34011271017492306
2025/2026,Jigawa,cases,52,9106.486345840192,16858.230943158294,973.3137399701814
2025/2026,Jigawa,hospitalizations,52,90.82700106101696,216.09633111749653,-6.795291583307367
2025/2026,Jigawa,deaths,52,15.520185870474764,41.278446892128656,-4.644852023785256
2025/2026,Niger,cases,52,6658.642097294198,15168.535254224345,-185.82661515200581
2025/2026,Niger,hospitalizations,52,89.2387911361627,203.37883539444195,1.4822511274636443
2025/2026,Niger,deaths,52,9.338328843253528,23.80334734284334,0.15168298043828096
2025/2026,Benue,cases,52,6982.290383233902,15298.499378549175,747.0044015244928
2025/2026,Benue,hospitalizations,52,87.0769285090143,170.5420804418863,14.683932358177783
2025/2026,Benue,deaths,52,9.746479250377227,20.522849745029085,2.1431965947930154
2025/2026,Borno,cases,52,8093.06055393568,14378.52605270287,912.3118186401368
2025/2026,Borno,hospitalizations,52,101.11966181570772,209.29177539622015,-17.18973818543279
2025/2026,Borno,deaths,52,13.522213550349184,26.919967664068743,0.3884567043076216
2025/2026,Ogun,cases,52,7511.134539621626,20543.394789074173,-1867.1485036946856
2025/2026,Ogun,hospitalizations,52,75.94173907905916,164.74017765710914,10.036844153715778
2025/2026,Ogun,deaths,52,9.1689485811768,22.723880827316925,-0.0992059987225169
2025/2026,Sokoto,cases,52,8074.372192334099,17471.76335183264,842.9994360317396
2025/2026,Sokoto,hospitalizations,52,91.99327704401357,175.93059156191035,21.362405948296086
2025/2026,Sokoto,deaths,52,14.08771955989785,27.677230040216482,2.1761385845112424
2025/2026,Delta,cases,52,6706.501813835502,15379.488407918041,194.3208656321649
2025/2026,Delta,hospitalizations,52,102.39228086501966,222.95213902667186,-2.2671986158764104
2025/2026,Delta,deaths,52,10.654259986619577,28.50385024866453,-2.235103379402776
2025/2026,Imo,cases,52,7854.933780305072,15800.134294998321,379.5718525286165
2025/2026,Imo,hospitalizations,52,113.09204763898478,271.676251059481,11.182347133147704
2025/2026,Imo,deaths,52,9.465076124172361,22.654792880229703,-0.19279284839565378
2025/2026,Kebbi,cases,52,6444.130605832219,12957.402444857804,874.962157705059
2025/2026,Kebbi,hospitalizations,52,80.52256310943719,166.5077670100747,3.59025112978098
2025/2026,Kebbi,deaths,52,16.699347845101485,31.704334241018522,-1.0244806917309603
2025/2026,Akwa Ibom,cases,52,6731.652417981784,14734.481163556251,-565.6528828658883
2025/2026,Akwa Ibom,hospitalizations,52,71.70708261959534,165.76350412802947,6.377738721360796
2025/2026,Akwa Ibom,deaths,52,10.594800407710965,21.461511526139265,2.2091034851476157
2025/2026,Edo,cases,52,6516.397601759036,16682.20239210522,-299.5728016705448
2025/2026,Edo,hospitalizations,52,97.22612438892548,203.6814481810018,8.000420588883681
2025/2026,Edo,deaths,52,6.751169488290064,13.398859157342986,3.197536696278358
